GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FogCarport,presentation,FrontController,149,0,22,0,38,0,17,0,6,0
FogCarport,presentation,Validation,125,0,22,0,21,0,16,0,5,0
FogCarport,data.models,CustomerModel,14,45,0,0,6,20,4,13,4,13
FogCarport,data.models,PartslistModel,81,183,5,5,10,56,7,21,2,21
FogCarport,data.models,EmployeeModel,31,0,0,0,14,0,9,0,9,0
FogCarport,data.models,OrderModel,6,118,0,0,2,52,2,32,2,32
FogCarport,data.models,MaterialModel,73,341,12,14,30,77,20,22,8,21
FogCarport,presentation.commands,Link,14,0,0,0,3,0,2,0,2,0
FogCarport,presentation.commands,ViewPartslist,27,0,0,0,7,0,2,0,2,0
FogCarport,presentation.commands,Command,100,0,2,0,18,0,4,0,3,0
FogCarport,presentation.commands,Login,77,0,6,0,22,0,5,0,2,0
FogCarport,presentation.commands,PayOrder,98,0,0,0,17,0,2,0,2,0
FogCarport,presentation.commands,ViewOrder,161,0,12,0,31,0,8,0,2,0
FogCarport,presentation.commands,OrderCarport,282,0,14,0,65,0,9,0,2,0
FogCarport,presentation.commands,ViewSVG,136,0,0,0,28,0,2,0,2,0
FogCarport,presentation.commands,MakeCarportForm,197,0,4,0,40,0,4,0,2,0
FogCarport,presentation.commands,UnknownCommand,14,0,2,0,4,0,3,0,2,0
FogCarport,presentation.commands,CreateUser,72,0,0,0,16,0,2,0,2,0
FogCarport,presentation.commands,LogOut,21,0,2,0,7,0,3,0,2,0
FogCarport,presentation.commands,ViewAllOrders,45,0,6,0,13,0,5,0,2,0
FogCarport,data.databaseAccessObjects.dataSources,DBCPDataSource,28,0,0,0,10,0,2,0,2,0
FogCarport,data.databaseAccessObjects.dataSources,DataSourceMysql,46,0,0,0,14,0,2,0,2,0
FogCarport,data.databaseAccessObjects.dataSources,DBConnector,74,0,4,0,18,0,4,0,2,0
FogCarport,data.databaseAccessObjects.dataSources,HikariDS,3,48,0,0,1,15,1,2,1,2
FogCarport,data,DataFacadeImpl,151,30,0,2,45,10,14,5,14,4
FogCarport,logic.drawings,SVGDrawingShed,455,0,20,0,48,0,16,0,6,0
FogCarport,logic.drawings,SVGDrawingBase,409,0,14,0,65,0,15,0,8,0
FogCarport,logic.drawings,SVGDrawingFlatRoof,169,0,6,0,24,0,5,0,2,0
FogCarport,logic.drawings,SVGDrawingRaisedRoof,300,0,12,0,45,0,8,0,2,0
FogCarport,logic.Calculations,RoofRaisedCalc.new Comparator() {...},2,20,1,3,1,5,1,3,0,2
FogCarport,logic.Calculations,BaseCalc,222,801,28,54,36,170,20,30,0,9
FogCarport,logic.Calculations,RoofRaisedCalc,14,1197,8,58,8,249,8,42,0,14
FogCarport,logic.Calculations,ShedLogic,186,420,21,19,35,122,15,14,1,8
FogCarport,logic.Calculations,PriceCalculator,16,0,0,0,4,0,2,0,2,0
FogCarport,logic.Calculations,RoofFlatCalc,124,678,11,20,33,168,15,17,5,11
FogCarport,logic,LogicFacadeImpl,315,0,16,0,71,0,34,0,26,0
FogCarport,logic,PartslistLogic,937,0,58,0,234,0,50,0,21,0
FogCarport,data.databaseAccessObjects.mappers,OrderMapper,193,210,6,2,50,49,8,4,4,4
FogCarport,data.databaseAccessObjects.mappers,MaterialMapper,194,129,13,7,41,32,10,6,3,3
FogCarport,data.databaseAccessObjects.mappers,UserMapper,269,137,12,4,70,37,12,4,4,4
FogCarport,data.databaseAccessObjects,DatabaseConnector,73,0,16,0,20,0,15,0,7,0
FogCarport,data.exceptions,DataException,0,4,0,0,0,2,0,1,0,1
FogCarport,data.exceptions,AlgorithmException,0,4,0,0,0,2,0,1,0,1
FogCarport,data.exceptions,UserException,4,0,0,0,2,0,1,0,1,0
